name,date,Green,Red,NIR,SWIR
1,2014/5/14,0.226744125,0.260826394,0.296701763,0.236891208
1,2014/5/15,0.223348486,0.256745838,0.295960876,0.236066508
1,2014/5/16,0.265605744,0.291235241,0.343188762,0.260126442
1,2014/5/17,0.259188947,0.287519778,0.339108464,0.261559196
1,2014/5/18,0.25081652,0.279601309,0.333021225,0.26233081
1,2014/5/19,0.24289179,0.270664406,0.324304018,0.260409961
1,2014/5/20,0.238876501,0.264973981,0.320739673,0.25733387
1,2014/5/21,0.257124412,0.286974695,0.34502726,0.267342805
1,2014/5/22,0.271755044,0.305570101,0.360977375,0.278892422
1,2014/5/23,0.29533135,0.33978678,0.393097362,0.277784491
1,2014/5/24,0.278187143,0.318244986,0.366242761,0.270571225
1,2014/5/25,0.268557458,0.305778226,0.356094257,0.269452166
1,2014/5/26,0.258065001,0.291086648,0.345460855,0.267988258
1,2014/5/27,0.248693222,0.282576344,0.338199865,0.267335808
1,2014/5/28,0.241533253,0.272464938,0.329210734,0.266804668
1,2014/5/29,0.235658672,0.264412336,0.325543389,0.269232433
1,2014/5/30,0.234702471,0.261157764,0.323159078,0.266813057
1,2014/5/31,0.259916724,0.296334371,0.351174058,0.266866201
1,2014/6/1,0.25463716,0.288123013,0.345286818,0.26554831
1,2014/6/2,0.271456643,0.300776718,0.359856607,0.259761399
1,2014/6/3,0.305669613,0.334296135,0.388601476,0.254498699
1,2014/6/4,0.288525641,0.320733808,0.377124885,0.252420434
1,2014/6/5,0.276543721,0.309680055,0.367398124,0.256003256
1,2014/6/6,0.265999743,0.300509652,0.361609742,0.254740999
1,2014/6/7,0.252590581,0.2893999,0.357942444,0.253280433
1,2014/6/8,0.240253123,0.278417653,0.353789458,0.251429839
1,2014/6/9,0.251499404,0.285842508,0.360201975,0.253266051
1,2014/6/10,0.281468304,0.310158097,0.37746219,0.266720141
1,2014/6/11,0.267784854,0.292024727,0.369231298,0.260013404
1,2014/6/12,0.25620168,0.278001009,0.367310833,0.256804176
1,2014/6/13,0.245813974,0.265297858,0.360893816,0.250629541
1,2014/6/14,0.2360394,0.258187694,0.354847676,0.252620626
1,2014/6/15,0.225036718,0.247549901,0.350432795,0.249409315
1,2014/6/16,0.235437038,0.25510173,0.358447211,0.251665966
1,2014/6/17,0.248428,0.266665291,0.369763807,0.253858199
1,2014/6/18,0.232971161,0.251461394,0.362921615,0.249593872
1,2014/6/19,0.220543099,0.237079484,0.366178855,0.248444526
1,2014/6/20,0.211351329,0.227793506,0.362381013,0.244842762
1,2014/6/21,0.207346326,0.220164032,0.360287615,0.240659332
1,2014/6/22,0.195970469,0.206336327,0.359144484,0.237587759
1,2014/6/23,0.184799003,0.189430861,0.359109568,0.232933236
1,2014/6/24,0.191525805,0.198430983,0.363152274,0.232944444
1,2014/6/25,0.208496267,0.215872357,0.374454648,0.236964043
