name,date,Green,Red,NIR,SWIR,
13,2015/4/30,0.12063625,0.14076625,0.30105,0.255675,
13,2015/5/1,0.10132143,0.118210095,0.322421035,0.213949939,
13,2015/5/2,0.073806044,0.081485214,0.30817458,0.19388878,
13,2015/5/3,0.199646817,0.211892546,0.348910538,0.226356182,
13,2015/5/4,0.438076056,0.445786966,0.479465944,0.170580881,
13,2015/5/5,0.644890678,0.648680598,0.649310403,0.172455015,
13,2015/5/6,0.063136813,0.069356936,0.309287584,0.183277483,
13,2015/5/7,0.895673763,0.893513138,0.864120236,0.226514559,
13,2015/5/8,0.096716814,0.109482269,0.308619782,0.19346644,
13,2015/5/9,0.059542967,0.069810329,0.327763456,0.186761789,
13,2015/5/10,0.163371432,0.173920833,0.337724845,0.209673745,
13,2015/5/11,0.092112199,0.115149689,0.331547671,0.198534522,
13,2015/5/12,0.891125302,0.888072415,0.82655634,0.214530657,
13,2015/5/13,0.074929121,0.088399467,0.350468744,0.202599546,
13,2015/5/14,0.177297586,0.183952166,0.410682278,0.23081715,
13,2015/5/15,0.083464506,0.092593357,0.352360851,0.193572025,
13,2015/5/16,0.1256825,0.1409175,0.3508525,0.24653125,
13,2015/5/17,0.088181429,0.096900596,0.337891795,0.191882664,
13,2015/5/18,0.403766055,0.403111294,0.457038907,0.190193303,
13,2015/5/19,0.8356453,0.838765862,0.809137823,0.245915812,
13,2015/5/20,0.048761428,0.053261463,0.282909382,0.166383875,
13,2015/5/21,0.084026044,0.089872996,0.370725423,0.192568967,
13,2015/5/22,0.060553736,0.065616439,0.346128027,0.177734268,
13,2015/5/23,0.164999893,0.183045379,0.377959951,0.231846604,
13,2015/5/24,0.867147609,0.869596626,0.83685163,0.14933189,
13,2015/5/25,0.073581429,0.092366661,0.343234216,0.188609528,
13,2015/5/26,0.084587583,0.085112363,0.392762908,0.196792369,
13,2015/5/27,0.055836813,0.060969154,0.362711792,0.17630887,
13,2015/5/28,0.084026044,0.091629896,0.388644792,0.199563976,
13,2015/5/29,0.168874509,0.184122189,0.410181426,0.239316746,
13,2015/5/30,0.116202199,0.118606815,0.425429585,0.227095277,
13,2015/5/31,0.068302967,0.070830465,0.337001392,0.194258328,
13,2015/6/1,0.59778875,0.60289,0.6485675,0.4149,
13,2015/6/2,0.702504526,0.701160907,0.709523936,0.195103008,
13,2015/6/3,0.089192198,0.102794713,0.400386988,0.195894896,
13,2015/6/4,0.08279066,0.083865531,0.396992324,0.197901012,
13,2015/6/5,0.078017583,0.075364401,0.282909382,0.178314986,
13,2015/6/6,0.684647603,0.701727649,0.730114516,0.365411689,
13,2015/6/7,0.054713736,0.054961689,0.330768568,0.169181879,
13,2015/6/8,0.09084,0.0959825,0.32349,0.1752925,
